Ship Date,Ship Mode,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Sales,Year,Month,Day,Sales_log
11/11/2017,Second Class,Consumer,United States,Henderson,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2017,11,8,5.572001929355964
11/11/2017,Second Class,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,500.6405000000001,2017,11,8,6.2178837276860754
16/06/2017,Second Class,Corporate,United States,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,14.62,2017,6,12,2.7485521444115397
18/10/2016,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,FUR-TA-10000577,Furniture,Tables,500.6405000000001,2016,10,11,6.2178837276860754
18/10/2016,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,OFF-ST-10000760,Office Supplies,Storage,22.368,2016,10,11,3.15136756508544
14/06/2015,Standard Class,Consumer,United States,Los Angeles,California,West,FUR-FU-10001487,Furniture,Furnishings,48.86,2015,6,9,3.9092190780954117
14/06/2015,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-AR-10002833,Office Supplies,Art,7.28,2015,6,9,2.1138429683971682
14/06/2015,Standard Class,Consumer,United States,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,500.6405000000001,2015,6,9,6.2178837276860754
14/06/2015,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-BI-10003910,Office Supplies,Binders,18.504,2015,6,9,2.970619572738916
14/06/2015,Standard Class,Consumer,United States,Los Angeles,California,West,OFF-AP-10002892,Office Supplies,Appliances,114.9,2015,6,9,4.752727750345706
14/06/2015,Standard Class,Consumer,United States,Los Angeles,California,West,FUR-TA-10001539,Furniture,Tables,500.6405000000001,2015,6,9,6.2178837276860754
14/06/2015,Standard Class,Consumer,United States,Los Angeles,California,West,TEC-PH-10002033,Technology,Phones,500.6405000000001,2015,6,9,6.2178837276860754
20/04/2018,Standard Class,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,15.552,2018,4,15,2.8065069404432417
